1stFlrSF,52.84779831772903
2ndFlrSF,61.764956873561225
3SsnPorch,39.97719781172326
BedroomAbvGr,-3368.3687496119546
BsmtFinSF1,29.83527933735286
BsmtFinSF2,33.285380154345624
BsmtFullBath,4675.244995512995
BsmtHalfBath,-432.5990144978562
BsmtUnfSF,23.59986409600313
EnclosedPorch,1.8926733187649056
Fireplaces,3828.591162808241
FullBath,6643.087555360201
GarageArea,1.674129165061059
GarageCars,10215.905043564659
GarageYrBlt,-6.242449966796685
GrLivArea,-10.138733081302634
HalfBath,1951.1547332046428
Kitche0bvGr,-13907.392060645449
LotArea,0.4666377139334012
LotFrontage,-42.91539784192372
LowQualFinSF,2.281456088402051
MSSubClass,-119.40499910918855
MasVnrArea,23.33184235876108
MiscVal,-1.0487307266320163
MoSold,-358.9389041402093
OpenPorchSF,6.155553114349186
OverallCond,5609.22718628575
OverallQual,8191.621811713937
PoolArea,275.7631625137946
ScreenPorch,40.46757389791911
TotRmsAbvGrd,3080.4443725554247
TotalBsmtSF,-18.135755548302598
WoodDeckSF,18.72786287678789
YearBuilt,229.81724217200303
YearRemodAdd,66.96952839162873
YrSold,-511.56044659097887
flag,0.0
FV,14295.339046424317
RH,5005.8102301060935
RL,9910.543175789637
RM,6302.48092798098
Pave,26773.78291645978
Grvl,0.0
Pave,0.0
IR2,5413.72960657665
IR3,-9929.398394032483
Reg,1936.0703372478067
HLS,12917.410453409148
Low,0.0
Lvl,10561.856419587824
AllPub,13675.198994640588
NoSeWa,-3.3383130819126313e-09
CulDSac,10542.191477497254
FR2,-7883.377075278363
FR3,-7661.3681241136155
Inside,-178.06997175015843
Mod,6750.68970576377
Sev,-5015.439873502052
Blmngtn,2579.4142773454714
Blueste,0.0
BrDale,8303.01650082022
BrkSide,8208.716973359406
ClearCr,452.1805929649433
CollgCr,3392.441467457758
Crawfor,26148.5484372041
Edwards,-7071.050273386695
Gilbert,-455.38608140484376
IDOTRR,-119.69975249170558
MeadowV,0.0
Mitchel,-6166.154577355283
NPkVill,9000.514542738325
NWAmes,-4431.616036792916
NoRidge,45184.064499435284
NridgHt,34936.13951381104
OldTown,-984.1409575026007
SWISU,3775.5995298038065
Sawyer,1217.535794484779
SawyerW,8465.416232330863
Somerst,13983.547035920621
StoneBr,49545.96833789107
Timber,1812.0033264646918
Veenker,8962.92509279739
Feedr,0.0
Norm,11246.641881216303
PosA,207.2176061636729
PosN,2383.932292469013
RRAe,-12685.945873181076
RRAn,7598.899272478854
RRNe,-0.0
RRNn,0.0
Feedr,0.0
Norm,-1143.8922939785562
PosA,13912.766386164107
PosN,-168475.69830192407
RRAe,-0.0
RRAn,-0.0
RRNn,0.0
2fmCon,4183.471970892479
Duplex,-2570.47686264003
Twnhs,-12956.58647211959
TwnhsE,-10081.237932905533
1.5Unf,4533.208267968758
1Story,5427.480884722655
2.5Fin,-0.0
2.5Unf,-3333.4662573011956
2Story,-5615.788765937024
SFoyer,1316.0291116731762
SLvl,4948.239136197373
Gable,-12977.00483785804
Gambrel,-5200.778882757575
Hip,-11462.776633756956
Mansard,0.0
Shed,0.0
CompShg,110890.8589660486
Membran,99678.67956115583
Metal,72937.64631228897
Roll,70102.90979524887
Tar&Grv,90439.07747485611
WdShake,104161.67682431263
WdShngl,182384.17683859178
AsbShng,227.764948926533
AsphShn,-0.0
BrkComm,0.0
BrkFace,14756.002095835407
CBlock,-0.0
CemntBd,5152.286378070942
HdBoard,-2256.099864362887
ImStucc,-0.0
MetalSd,1261.401867821264
Plywood,0.0
Stone,0.0
Stucco,-2873.6683912626
VinylSd,-0.0
Wd Sdng,-2798.8797739080487
WdShing,-0.0
AsbShng,-0.0
AsphShn,-0.0
Brk Cmn,0.0
BrkFace,-0.0
CBlock,-0.0
CmentBd,0.0
HdBoard,0.0
ImStucc,7161.996812443552
MetalSd,0.0
Other,-0.0
Plywood,-952.5412654729732
Stone,-9180.86915173551
Stucco,-10401.097725499112
VinylSd,2033.1811543558297
Wd Sdng,1624.5891535948192
Wd Shng,-6015.871484070035
BrkCmn,-6390.808891828759
BrkFace,-1815.0156438105384
None,3477.210697929136
Stone,1963.7452039596321
Fa,-373.55940404351594
Gd,-14203.190082045454
TA,-15570.96657359822
Fa,451.66051476946825
Gd,-2162.9474958291094
Po,0.0
TA,-0.0
CBlock,2502.3724381946276
PConc,3245.7091207953945
Slab,-983.2026048989153
Stone,1993.3337618832245
Wood,-5951.699109704222
Ex,19214.301785156596
Fa,2052.8495725732123
Gd,-1879.2161572409875
TA,-0.0
Fa,-709.1639554036385
Gd,-0.0
Po,0.0
TA,2745.392826266498
Av,3093.686025586147
Gd,19208.220494845536
Mn,-0.0
No,-3639.1976716376344
ALQ,158.57691955600507
BLQ,1424.4547759044412
GLQ,3987.468661656886
LwQ,-2849.6280242844605
Rec,-0.0
Unf,-3614.871175836296
ALQ,2692.0358035724776
BLQ,-3511.2496289430196
GLQ,2984.950299490343
LwQ,-4457.646096496042
Rec,-3235.111727809366
Unf,2911.9026480874395
GasA,0.0
GasW,3896.5385431463633
Grav,-3302.861875854482
OthW,-15445.370982825963
Wall,0.0
Fa,-0.0
Gd,-4158.670872300529
Po,-0.0
TA,-2372.199271325487
Y,0.0
FuseA,-274.3004297185554
FuseF,0.0
FuseP,0.0
Mix,0.0
SBrkr,-3103.9657658970696
Ex,24878.627615750735
Fa,313.7962263717784
Gd,-549.8224425911142
TA,-503.5837347288203
Maj1,-2174.8188975432095
Maj2,-0.0
Min1,-0.0
Min2,2288.040128944278
Mod,0.0
Sev,-11745.058272141601
Typ,12149.001347976538
Ex,-0.0
Fa,-3159.0323292540675
Gd,-1268.0753197637493
Po,3586.3340952782373
TA,-0.0
2Types,-9731.164553813876
Attchd,-0.0
Basment,0.0
BuiltIn,5.511471317178696
CarPort,-0.0
Detchd,487.4669778736057
Fin,819.1254962176863
RFn,-2167.1880844554034
Unf,0.0
Ex,23237.78542573668
Fa,-4464.138998394944
Gd,9775.065167566629
Po,-0.0
TA,-0.0
Ex,-0.0
Fa,-0.0
Gd,0.0
Po,-0.0
TA,1461.1175479584936
P,-0.0
Y,1504.8401076793052
Ex,-0.0
Fa,-142086.17666304877
Gd,-228604.71792940417
GdPrv,-3887.504267906534
GdWo,-1025.9964321220734
MnPrv,788.6796281490847
MnWw,-3354.628909360765
Gar2,-0.0
Othr,0.0
Shed,-0.0
TenC,-0.0
COD,-9949.657178645133
CWD,0.0
Con,3869.93165855058
ConLD,0.0
ConLI,-0.0
ConLw,-4968.407420543833
New,10750.381297628095
Oth,-0.0
WD,-10723.914553335146
AdjLand,1021.2408175309965
Alloca,7676.154718059613
Family,0.0
Normal,7660.798674592276
Partial,0.0
